t,p_x,p_y,p_z,q_w,q_x,q_y,q_z,v_x,v_y,v_z,w_x,w_y,w_z,a_lin_x,a_lin_y,a_lin_z,a_rot_x,a_rot_y,a_rot_z,u_1,u_2,u_3,u_4,mu_0,nu_0,tau_0,mu_1,nu_1,tau_1,mu_2,nu_2,tau_2
0.640079,-3.8587893054919262,3.2306177167482275,1.6872881999071179,0.9377058619676741,0.3078002839033667,0.15964651687885031,0.02188280796791721,3.87203713391592,-4.734662372428976,1.5610106750652726,0.16903643556119505,-0.7813977004767119,0.2999731270004202,5.230950466018902,-10.005876392302904,3.468456802582509,0.18167573814636195,-3.7555872761854405,-0.00096867759341751,3.7088143200253185,3.708814166227077,3.696158778041092,3.6961918668774896,0.9958698234289282,0.00029420077644142276,0.684300636471997,0.9980332765355312,0.0001163625871725776,0.597550918294757,0.998296413535602,0.00010675417172417187,0.5047285458420607
0.672082,-3.7321514185848317,3.073977687181995,1.7390168403896726,0.938804129670246,0.31140885756971926,0.14558639132143153,0.021796737832582052,4.039448098397283,-5.054889724646974,1.6720149184344901,0.17485077288737003,-0.9015912469812047,0.2999421255120217,4.773341732005359,-10.222641844165583,3.6363061904987792,0.22944655841570705,-5.543584711557999,-0.004218790901645565,3.737908155991802,3.7379079716761954,3.7192327926128472,3.7193764158190903,0.9955532307977799,0.00031659263114821164,0.7120857459343807,0.9979132718451164,0.00012000469041484214,0.6035644974182863,0.9981853775802284,0.00011103595537354798,0.5051643934326453
0.704086,-3.6003826396894207,2.9069789419049834,1.7943835986948482,0.939984233477461,0.31509112968158887,0.12925794016671485,0.020946850836392802,4.192213785693561,-5.382054422878532,1.7883910016062847,0.18219396412782102,-1.0790077354902956,0.29980710762982654,4.2176107380685615,-10.460592285383987,3.8196695611756697,0.7087136910120483,-5.275177644290035,-0.09131457192060542,3.7670019875521485,3.767001772732025,3.747730846072798,3.750835756337942,0.9952099329840074,0.00034329781377257396,0.7475995299474112,0.9977892629085927,0.00012400893652366197,0.6103868978003159,0.998069615810248,0.00011576176998047794,0.5056621455463158
0.73609,-3.4640004826498476,2.729388769885178,1.8535689588235313,0.9411363253347269,0.31895011125912526,0.11029574973884462,0.019163904420894065,4.327193898018039,-5.716834470007374,1.9106354329750246,0.20487558639211514,-1.247834143420944,0.2968846826029144,3.5341141610335924,-10.712827588243623,3.9559935370830694,9.045785557242281,-9.074084818216035,-1.7223527838351453,3.796095814986522,3.796095565370271,3.7363520109372077,3.7949122552036902,0.9948344426075412,0.00037549037646614035,0.7936152931917824,0.9976608551659577,0.000128407742634935,0.6181338678398657,0.9979486484957961,0.00012096731445187728,0.5062319712763327
0.768094,-3.323636512750312,2.5409612837033064,1.916741241228361,0.9414679622623243,0.32503781154739114,0.08801934473310107,0.015500288391550491,4.4402994347898606,-6.059687037723496,2.0372427671158033,0.4943762602117334,-1.538240504764178,0.2417626273297645,2.6785184269307982,-11.046065128856574,4.0437570431855665,-7.329708091032625,-10.864089088280359,1.4998551337734403,3.8251896385939377,3.8251893450374643,3.8142418070820767,3.7632470260902213,0.9944196275630953,0.00041481504444581646,0.8538757472158224,0.9975276174440068,0.00013323772195105138,0.6269421212757282,0.9978219619177078,0.00012668657808846104,0.5068853413780325
0.800098,-3.1800744769642852,2.34139109818059,1.9840123185879148,0.9414753227695224,0.33137958261985473,0.06091094092332215,0.010040830238981,4.5260225468985595,-6.413204515848886,2.166658878227102,0.25979680684892814,-1.8859340347059124,0.2897638837282855,1.6107470498234466,-11.35125833640543,4.131453993001556,11.079246756174179,-11.53594400408032,-2.0998617021109327,3.854283457261167,3.85428310850985,3.7798756455774574,3.851271292200557,0.993956021160934,0.0004636064021613279,0.9311264641002351,0.9973890751722961,0.0001385422717106571,0.6369767432043117,0.9976890130718312,0.00013294884587657836,0.507634879117958
0.832102,-3.034297050538766,2.130351054193619,2.0554751824556963,0.940582717955459,0.33836477393133435,0.028395288235615202,0.002513580275211189,4.577572780244906,-6.776489375554511,2.298881636246289,0.614376227401108,-2.255129561307007,0.2225600600424126,0.3060014986396588,-11.682454257123116,4.1142396714014335,-11.867756013879024,-12.4542875518078,2.415380757265521,3.883377270643792,3.8833768502814747,3.8826713650519507,3.8005488396677145,0.9934321444195126,0.0005238767414215365,0.9764200699215114,0.9972447031470169,0.00014437202527931,0.6484369963698102,0.9975492404877012,0.0001397725841299959,0.5084937792125704
0.864106,-2.887518006486698,1.9075102838163238,2.131166656348744,0.9386387796194104,0.34468450307173737,-0.009944002603364076,-0.007081760207635191,4.587366030315384,-7.150373805812338,2.4305534683485344,0.23456141297693903,-2.653715689109359,0.2998617329965617,-1.3655317707646255,-11.70435299390412,3.7167901459409607,36.56820142887306,-59.59425215095959,-7.082794584936352,3.9124710812035697,3.9124705573133185,3.593110024817265,3.8339255645950416,0.9928329231632386,0.0005992212562739265,0.9840457233043636,0.9970939165747602,0.00015078657225659796,0.6615650929771137,0.9974020828389456,0.00014715764875566296,0.5094747185979981
0.89611,-2.741227379678031,1.6726966263239662,2.210894288258899,0.9318980648277306,0.3560049409083775,-0.0652225950965337,-0.02391141638155809,4.543663649216824,-7.524959081675423,2.5495053542723105,1.4048875153411997,-4.560965871451588,0.07318448181815439,-3.946461961510456,-12.1540894083064,3.224018406249756,-13.479847681579772,-35.60731748335371,2.726547450610389,3.9415648850852008,3.941564241318598,3.8689079755671454,3.7762060060130067,0.9921363298280352,0.0006965933352032901,0.9908303032192448,0.9969360640084127,0.00015785256634750567,0.6766483124323689,0.997247009882591,0.00015507295635460146,0.5105877721837708
0.928114,-2.597584390909615,1.4256505264659618,2.294222154466261,0.9165253748947287,0.3703515913629749,-0.14248311246555495,-0.05018763676870228,4.417361362938762,-7.913937689569957,2.6526866086929273,0.9734794345163359,-5.700539912767089,0.16044471136459848,-7.16032638126136,-12.22416806443186,2.3418123160201514,0.6381494880414602,0.10296051656893976,0.00042537030905164414,3.9706586642312365,3.970657860771436,3.9706400123716663,3.9706263532409563,0.9913111431118773,0.0008251867161579477,0.9929049087477162,0.9967704028475917,0.00016566116082103336,0.6940652558795868,0.9970835783161216,0.00016343156646941805,0.5118359011161668
0.960118,-2.4596115667473533,1.1660744463157664,2.380436313159792,0.8939331746319774,0.3782357674221952,-0.2270749602601587,-0.07910396621943559,4.188202789697556,-8.305159089761558,2.7276338025166993,0.9939027250770696,-5.697244771760826,0.1604583248855375,-10.221080238500846,-11.660661222486096,0.8211094161939623,0.6393032346172755,0.11117807236553517,0.0001478645245682257,3.9997523811878404,3.9997512885218196,3.9997484397315426,3.9997445050037266,0.9903110755854646,0.001000067526412679,0.9938501663744773,0.996596062149675,0.00017434069791653835,0.7143315023287161,0.9969115177666463,0.0001720605494752382,0.5132080830923262
0.992122,-2.3305642625633283,0.8942328559821678,2.4683063080823793,0.8635735942105125,0.3831767539352971,-0.3096989242071954,-0.1072477586695301,3.861088068981971,-8.678346057297981,2.753912529528691,1.0143629400606742,-5.693686636686751,0.16046305713120323,-12.968268576191765,-10.709161804417485,-1.1080803516514808,0.6393539948961994,0.11478649796582029,0.00010180706949901395,4.0288459623692106,4.028844182725733,4.028844908702424,4.028843226905537,0.9890648390977617,0.0012462364877030255,0.996003727071374,0.9964120209664071,0.00018404118326800464,0.7380857826546635,0.9967308186109023,0.00018069915574411125,0.5146748140056787
1.02413,-2.213425634373681,0.6109036362402821,2.556060544513371,0.8257101641694129,0.3851243671304332,-0.38965552272766024,-0.13434952279382537,3.4460525292465087,-9.021081305530789,2.718449605228816,1.034824779572614,-5.690013017817918,0.160466315357372,-15.301950069631808,-9.397242991425415,-3.3848884717589005,0.6393956856734213,0.11796830891738934,0.00014639047860823368,4.057939210941066,4.0579351925926295,4.057939611305907,4.057938652378067,0.9874577343241109,0.0016071047736507477,0.9976241437729205,0.9962170812565779,0.00019493970982917153,0.766117436112571,0.996541801640158,0.0001890169707441691,0.516186404662866
1.05613,-2.110805469835153,0.3172490691079329,2.641539053677931,0.7806718033684384,0.3840513440633142,-0.466269534998352,-0.16015020012192122,2.9563300139514324,-9.321829997930006,2.6101198767406246,1.0552879533532054,-5.686237568499025,0.1604710004277763,-17.135132436389252,-7.765400622129833,-5.935491997302817,0.6412792532909933,0.12315293622467338,0.0005748802796956956,4.0870314133068595,4.087012540469001,4.087033823638943,4.087033150547272,0.985292686587921,0.002165047736189866,0.9986899437019628,0.9960098276847422,0.00020725357183561569,0.7994049652180885,0.9963451691799876,0.0001966324601703952,0.5176725584091161
1.08813,-2.024844175443679,0.014780888690007049,2.722262662792777,0.7288500739459587,0.3799543696278984,-0.5388943812898429,-0.18440268200720533,2.4079384613403403,-9.570353323887694,2.420160815496421,1.0758114086970751,-5.682296190738708,0.16048939885511954,-18.256410961798796,-5.8997629080309535,-8.68816347058079,16.8719897306784,16.27907396160288,3.1518892308789033,4.1161183675739235,4.008954691246108,4.116127849173047,4.116127291651212,0.9822010760424724,0.0030916105454486735,0.9993569005083631,0.9957885747192815,0.00022125296546072158,0.839106890733208,0.9961420215326826,0.00020314764730502315,0.5190467918862404
1.12014,-1.957065126401595,-0.29468484874354434,2.795507648578554,0.6717332425273855,0.3762015437882344,-0.6051935228748457,-0.20245199754054755,1.8236615910206453,-9.759168913914975,2.1421054533532873,1.615781360980375,-5.161301872310471,0.26136223630743916,-18.94166547678551,-4.210821970339002,-11.546730263199095,0.9282466502063067,0.3172459964475715,-0.0028968530563949135,4.145108771963882,4.145207813444433,4.145221791890462,4.145221243413793,0.9774075556556734,0.004793520386799075,0.9997323413422293,0.995551299830095,0.0002372748891865338,0.8863112419430008,0.99593382040893,0.00020820112375267302,0.5202175102585008
1.15214,-1.9083907494554115,-0.609322399505392,2.8583956537342714,0.6103847895504343,0.37308114180681995,-0.665128604952471,-0.21411203965326128,1.2174538842278526,-9.893931759002719,1.772564724087027,1.6454889003648765,-5.151148754136603,0.2612695256294692,-18.482632677122666,-2.406862913935265,-14.009699754218236,-66.31318947181774,66.58944384093799,-13.042187125012969,3.730877508570363,4.174312544755242,4.174315701809553,4.174315027875403,0.9689693519545884,0.008438203701084916,0.9999135994459294,0.9952955485396378,0.0002557512904572841,0.9401928974990169,0.995722301725396,0.00021151868353386723,0.5211025161233366
1.18415,-1.8789088450515548,-0.9273440492052537,2.9081089249680026,0.5621924840081365,0.3637124175415262,-0.7057669840034859,-0.23139610160010998,0.6259370303153058,-9.97096082750831,1.324199295436164,-0.47679367130730854,-3.0200249573989075,-0.15613169805417967,-18.79584248215786,-0.7952915812783158,-15.280539567479831,-23.337345602294842,23.062233526638316,-4.494108616826014,4.0506077072611415,4.203408441638515,4.2034096071627145,4.203408565757308,0.9503789974887142,0.01859035446587418,0.9999822018492245,0.9950184853466915,0.0002770631929463484,0.9769675162542041,0.9955093366817039,0.00021296504369210556,0.521645958733687
1.21615,-1.868511598024062,-1.2470002049509272,2.942715895077551,0.5357628337533554,0.3485582461258419,-0.7243987929438348,-0.2582826717534193,0.024396232210095386,-9.996413282378724,0.8351620003202076,-1.2236804103607786,-2.2819428855326573,-0.29996082870917656,-18.982028913857732,0.8262298033719838,-15.757787757090542,-0.48314111066807025,0.2630163184618707,-0.0008416487197038571,4.232472500206354,4.232502995273271,4.232503490727556,4.23250161171711,0.8824644477276764,0.06791454976103792,0.9999986750259415,0.9947168062354467,0.00030167911124470844,0.9791943456548384,0.9952968253435125,0.00021251133819131436,0.5218190573538333
1.24815,-1.8774647606383243,-1.5666401618513173,2.9613958044078044,0.5145278802786631,0.33176739297273333,-0.7365293229137353,-0.2876008151056532,-0.5831032631350722,-9.96997068286181,0.33085088828728076,-1.2391428239016768,-2.2735253300933396,-0.29998776477458866,-18.900590786076048,2.4646012497682284,-16.01766801180546,-0.47948571412452107,0.2631037718419442,-0.00023945377996028496,4.2615832333619155,4.261597107664234,4.261597299793639,4.261591566919837,0.1350594274318675,0.7474050202958089,0.9999999989859557,0.9943860748355449,0.0003307313999017777,0.9846556599168865,0.9950866306700298,0.0002101946734828119,0.5216161965304633
1.28016,-1.905829147572244,-1.8845951658974882,2.963797059262559,0.49257875632542775,0.3143115516672619,-0.7472383656876636,-0.3165556151289932,-1.1879964184649683,-9.89109376078694,-0.18177741282516696,-1.25448825039311,-2.2651049758023025,-0.2999954282362315,-18.693516836375775,4.112511604834815,-16.211683087017523,-0.48828437305142075,0.2650029318143882,6.524540033403402e-06,4.290646171407888,4.2906910885238485,4.290690941763684,4.290645802813359,0.06104638551711754,0.07401304191474996,0.9999988879751195,0.9940207453596269,0.00036532947591803183,0.9894101930299561,0.9948804769418793,0.0002061537281504211,0.5210623512125901
1.31216,-1.9534569801567498,-2.199181228925044,2.9496870119011698,0.46995159610529225,0.2962297626284926,-0.7565024601049439,-0.34510240319234603,-1.786262393923159,-9.759477233603464,-0.7006149585244584,-1.2701152685353654,-2.2566238409313772,-0.29999521942531904,-17.860115883803946,5.735844175125653,-15.948078371915898,-74.26093067661999,0.5152664776668607,0.0001524244004505354,4.073825914007874,4.319784999552122,4.319784277664847,4.073820009690982,0.04145181583455977,0.019594569682557766,0.9999839956847786,0.9936137596007979,0.0004069857588290971,0.9923869327662164,0.9946798623984193,0.00020061454345998123,0.5202085941027094
1.34416,-2.0198094080225775,-2.508754013406323,2.919048632521864,0.4519931003121584,0.2687228299159642,-0.7572549514923258,-0.38736726589082376,-2.357856264918483,-9.575907686976997,-1.2110161177804686,-3.6467567811280612,-2.2401332894433654,-0.2999903412457118,-17.257368036229256,8.216091884375734,-14.73287069212121,-89.08241927047752,-45.80200240833453,9.078925862497778,4.207269011910196,4.348878854660662,4.348876915721044,3.8985835936465474,0.03264694866469309,0.00880486716986669,0.9999207026052986,0.9931560166939069,0.0004577429068909687,0.9928926228517677,0.9944859932557336,0.00019386914268569052,0.5191241372603059
1.37617,-2.1041901235207345,-2.811274512964612,2.872587058445071,0.4349265637439528,0.2144190475170088,-0.7432282994276844,-0.4609477393516752,-2.910159836921865,-9.312960470105784,-1.6825258573908213,-6.497744154318369,-3.705977297748932,-0.009429047467623056,-16.406872752334415,12.080630032662242,-12.502447368242835,-0.0343670286040539,0.04412990536384135,-0.0005043323495667769,4.3779311120242115,4.377972652339599,4.377968086137834,4.3779436931223294,0.027659929188594914,0.004987019476098176,0.9997528664571077,0.9926356409030351,0.0005203757908717552,0.9933466071658911,0.9942997638453764,0.00018622941035712826,0.5178834593853845
1.40817,-2.2059103657057912,-3.1034372594125434,2.8121041015476913,0.4100259020639695,0.14061400753587427,-0.7157860814096535,-0.5474983763336849,-3.4352442187056824,-8.926332850813928,-2.0826532885129065,-6.498844034243124,-3.704564967414813,-0.009445188084057603,-13.925113096536311,15.301662042028113,-9.720257982360055,-0.036544498464642604,0.05419936532026607,-0.003067593337314326,4.40697445421654,4.407066368891851,4.4070509003141645,4.407063283812327,0.02443965266768129,0.003220276520913621,0.9994076312490285,0.9920372578775674,0.0005983830254676335,0.9948751832707153,0.9941217577246344,0.00017800612074214998,0.5165588727945424
1.44018,-2.3232402327733186,-3.3815113050724492,2.740232104040264,0.37927700167817124,0.0648035866712392,-0.6780793920567547,-0.6262231823594109,-3.880902542015599,-8.436619553533674,-2.39373972957283,-6.500013601757517,-3.702830374804639,-0.009543363121762986,-10.54437681939163,17.531711861451576,-6.863016518184166,-13.26378473800919,13.433307406549877,-3.9306780085066166,4.325705062631397,4.436159882977008,4.412971209760779,4.4361594417034835,0.022172945952633784,0.002266706715047507,0.998805131889152,0.9913412109123948,0.0006960469651726548,0.9961832031311647,0.9939522251933726,0.00016953253126188893,0.5152211809389926
1.47218,-2.4531577558440456,-3.642684167252214,2.659858574351062,0.3448082497710951,-0.010290745859346626,-0.6270923618715806,-0.6983939128006804,-4.218364023376701,-7.875535901375007,-2.613383219226282,-6.924506819593941,-3.2729117656122435,-0.13534050089710664,-6.632749729680785,18.79818873839744,-4.012168805994014,25.6238153452463,-25.20714150045208,-5.143361470213312,4.465121884844468,4.46525270356228,4.290510458660764,4.465253929930216,0.02047564782384677,0.0016972981287870133,0.9978706171727523,0.9905222786574549,0.00081893225493986,0.9972699260132656,0.9937910960411935,0.000161129152179009,0.5139313089580436
1.50418,-2.59191799148377,-3.88516576239032,2.5739491290632976,0.30223632986676807,-0.0851453850327091,-0.5702970050047139,-0.7590537636397306,-4.4306380712046565,-7.273920013852961,-2.7417883826543905,-6.104444066465867,-4.07963931882124,-0.2999482734230075,-2.2735666664489997,19.370205350960862,-1.745829188750336,-0.8508531176899667,1.2857399461514678,-0.001366301503010012,4.494321239188873,4.494339570069948,4.494319911374434,4.494348034744462,0.019143651702700864,0.0013319961211459086,0.9965076003492155,0.9895480034484728,0.0009742752089820842,0.9980744762221095,0.9936380392843267,0.00015305675686670805,0.5127325862192545
1.53619,-2.7352709092446092,-4.108019113354812,2.4851470962192885,0.25122875003250017,-0.16052759840588376,-0.5122131550631975,-0.8054504820836728,-4.5034011361419894,-6.653997347585697,-2.797661775110895,-6.13167470877261,-4.038490589569125,-0.2999920004385618,2.1682665921281377,18.390609149522987,-0.17094685593284337,17.865083009370554,30.129562354934905,0.00011377737385932903,4.427104387202793,4.365063030376379,4.461404535821175,4.523442024216879,0.018058771831259684,0.0010848798714411794,0.994765609058637,0.9883765274368719,0.0011714760116008978,0.9986671855794764,0.9934925286081066,0.00014551067622024485,0.5116514116992197
1.56819,-2.8786400341766223,-4.311448403096263,2.395397378149801,0.20166099779119256,-0.22623200789565018,-0.449010803793073,-0.8405587003001045,-4.434008087249834,-6.065425608066895,-2.8031327460582753,-5.5599218702460105,-3.0742262314935145,-0.29998835911562866,5.839601500450589,16.876345631253407,0.9640157748525682,68.92565290068329,0.956132546776679,0.0024744702984630836,4.552510295135972,4.320576034654958,4.320685812484028,4.5525359409749315,0.017148104342389316,0.0009106674888703676,0.993014945090634,0.9869534669910135,0.001423060445858453,0.9990962772079047,0.9933539081184665,0.00013862048964009922,0.5106995502030739
1.6002,-3.0178278517557757,-4.496793300040273,2.3061214600901447,0.1590423923272839,-0.2788221348327901,-0.39833452279938963,-0.8592385770593924,-4.2471178986066835,-5.525316249853223,-2.7722804541675927,-3.3540302058974945,-3.04362623387019,-0.2999091663452254,8.594780921171257,15.769999548144447,1.3937943560687724,49.022454814568974,49.56226164086917,9.660988709892573,4.581625317491901,4.2531225858935455,4.581600710980519,4.581629826442751,0.016364451223499207,0.0007836531188901092,0.9928284531279895,0.9852070659239678,0.0017464010670456304,0.9993997141759041,0.9932214655361976,0.00013244258226888505,0.5098759747275411
1.6322,-3.1495233247658594,-4.665453310757799,2.2181070504405125,0.13099884632591324,-0.31489488751178296,-0.3687555413898259,-0.8646949820425784,-3.97205114489407,-5.020614312533064,-2.7276735593109227,-1.7851190691806822,-1.4574391581033725,0.009280425158896348,10.33951789973099,15.165837162057667,1.681765342104067,5.3978291917005885,5.3354419943710525,1.052070510787239,4.610721710429867,4.57492623251198,4.610698626949211,4.610723707500615,0.015676205038163197,0.0006882461853360089,0.9904293343581614,0.9830409723652858,0.0021660935586820473,0.9996097027873804,0.9930944838038585,0.0001269817323390893,0.5091721966906795
1.6642,-3.2714557129503943,-4.8182925431766295,2.131670743570579,0.11462592553139714,-0.33739403522591294,-0.34777122384801523,-0.8672248189580719,-3.641145953741753,-4.535247944994189,-2.673850461619224,-1.612367329901454,-1.2866840542241686,0.042950814518812726,11.50825986180862,14.394726505345258,1.7274346987580156,11.929165233119734,11.78133265242093,2.3253122081186515,4.639816417583761,4.560722145254684,4.639783928860998,4.639817586114262,0.015061176421405798,0.0006150286167573998,0.9854073990132841,0.9803232803726136,0.002717691992672206,0.9997520193680319,0.9929722720433124,0.0001222117605460932,0.5085764050506726
1.69621,-3.3821767045551994,-4.956000277099146,2.046982405915413,0.10190320465977708,-0.35553677918479865,-0.3294803055965233,-0.8687057110166949,-3.2728364284493408,-4.074560147745873,-2.6185657651044534,-1.230587179218049,-0.9096351268771969,0.11736994006975728,12.450546485326079,13.805690711043912,1.8167071742471532,6.099575238329591,5.895033253554839,1.1769395298339957,4.668910679625894,4.628828508638091,4.668845235213116,4.668911462186628,0.01450322878139124,0.0005579476400145586,0.9797779650753368,0.9768687309799097,0.0034545493927039773,0.9998465096602106,0.9928541842630327,0.00011808778027967801,0.5080757763606533
1.72821,-3.4806064735676614,-5.079276342389456,1.9641090564583787,0.09302544071423002,-0.369341724346674,-0.3142018655883037,-0.8696020319847706,-2.874370029471026,-3.632723809917529,-2.5604239986708675,-1.0353768096668818,-0.7209709043734008,0.15503662858185602,13.184861437617299,13.284284631210477,1.8849624416318485,5.397927215011903,5.143142020375648,1.0307027764942056,4.698004765458636,4.662744289971452,4.697788754741248,4.698005335827501,0.013990271251503698,0.0005129575298875405,0.9772708289672819,0.9724088793407274,0.004459851639182186,0.9999079025647651,0.9927396224810235,0.00011456178200916249,0.5076585351500589
1.76022,-3.5658944798599657,-5.188686233971587,1.8831312482144518,0.08657529690788442,-0.38043749429234164,-0.3008789310622164,-0.8701962124828888,-2.452402667294006,-3.2075745149656956,-2.500097795543026,-0.8626219332566112,-0.5563701551044047,0.18802316650215042,13.790018447554848,12.845425626412405,1.9604955209725436,3.8124975750349637,3.222127889913753,0.6535722463787398,4.727098767215911,4.703513090322876,4.7257349867462715,4.727099207262254,0.013513778984097268,0.00047649226740643127,0.9472073885055621,0.9665405452418003,0.0058683340989270985,0.9999468066855095,0.9926280327916988,0.00011158968932471298,0.5073146562095275
