q,alpha,beta,aileron,elevator,windtunnel,CX,CY,CZ,Cl,Cm,Cn
551.25,0.17453292519943295,-0.08726646259971647,2.0,-0.0,True,-0.09128680136492205,-0.0041282464413778695,0.660985261996521,-0.016718310418273583,0.3222877223641383,-0.004911797639285067
551.25,-0.0,0.17453292519943295,-0.0,5.0,True,-0.023741450118793632,0.0291177664661788,-0.18148675354743804,0.004998813214217673,-0.22661528497845085,-0.007330434206596926
551.25,0.17453292519943295,0.08726646259971647,2.0,-0.0,True,-0.09688326020076521,0.0022255091173952212,0.6554153533487611,-0.023242241779110072,0.27045480566677016,-0.008174610142900919
551.25,-0.17453292519943295,-0.0,2.0,-0.0,True,-0.06229819667279278,-0.00015626546405228748,-1.0385422941005853,-0.029941460296565844,-0.29850423072146837,0.004213712125142037
1531.25,0.08726646259971647,0.17453292519943295,-0.0,5.0,True,-0.02523523346911103,0.02912426324763135,0.30122457786151596,0.004803768083047372,-0.08682046432466585,-0.007459820932921191
551.25,-0.08726646259971647,-0.0,-0.0,-5.0,True,-0.029625855219021138,-1.2653236386364067e-05,-0.5762285933820994,-3.7198389051575066e-05,0.07624750238865106,3.0795145398268005e-06
551.25,-0.17453292519943295,-0.0,4.0,5.0,True,-0.07926424792050188,-0.000921298055664171,-1.0309350454743416,-0.047333324275094485,-0.5016788445017383,0.007558313240494604
551.25,-0.0,-0.08726646259971647,-0.0,-2.0,True,-0.020814480876024503,-0.014247925603529991,-0.11997133823937182,-0.0008877592710654644,0.08281479755102747,0.003678013780750397
1531.25,-0.08726646259971647,0.08726646259971647,-0.0,-0.0,True,-0.02876653377049363,0.013829740065024045,-0.6289368377975519,0.0014598066374194932,-0.16151045943339945,-0.003827168162923537
1531.25,-0.17453292519943295,-0.0,5.0,5.0,True,-0.08535799979948874,-0.001220745126942205,-1.0295208431645344,-0.05597787325131762,-0.5102199430280909,0.008851990748114684
1531.25,-0.17453292519943295,-0.17453292519943295,2.0,-2.0,True,-0.06735168963959624,-0.022222128761568906,-1.0054237952710043,-0.037850849813098324,-0.12868152722031576,0.011536572546977328
551.25,0.17453292519943295,-0.17453292519943295,2.0,-0.0,True,-0.09287564979363307,-0.012004746259330358,0.6615065593557622,-0.014306733564549673,0.33352743435598076,-0.0014844835288919246
3001.25,-0.17453292519943295,-0.08726646259971647,2.0,-2.0,True,-0.05508966317497635,-0.011968741533898354,-1.057227949874788,-0.039036733269825326,-0.14936457216959448,0.007533924104568668
551.25,-0.0,-0.0,2.0,5.0,True,-0.024737927460508034,-0.0014687972249623658,-0.1885716617574268,-0.04245835911569195,-0.2505320972039896,0.0006031229595533446
3001.25,-0.17453292519943295,-0.0,-0.0,-0.0,True,-0.05368140613090057,4.554544359738067e-05,-1.083331554754492,-7.675316057682434e-05,-0.30873388306211835,-1.5749490663057176e-05
3001.25,0.17453292519943295,0.08726646259971647,2.0,2.0,True,-0.08797537918678422,0.005860338644170884,0.6599994135087315,-0.0215332531834425,0.1850519648773631,-0.009495046528647324
1531.25,-0.0,-0.0,4.0,2.0,True,-0.03157988811799007,-0.0015298731364911677,-0.16228386230280917,-0.07628479316176305,-0.11860105313738761,0.0008739771649459783
1531.25,0.17453292519943295,0.17453292519943295,4.0,-0.0,True,-0.10008110282927699,0.011356361821180872,0.6415858420703731,-0.04508064685978248,0.16386742674342758,-0.015889058300526577
551.25,-0.0,0.17453292519943295,-0.0,-0.0,True,-0.02239843918304791,0.03125327419038444,-0.13470744685360625,0.0027474149131343165,-0.0052156343045703666,-0.007904244601230974
551.25,0.17453292519943295,-0.08726646259971647,2.0,5.0,True,-0.08707784803811544,-0.004420055816480291,0.6165411975044452,-0.018319962172811663,0.10159633912730731,-0.00497395743704823
551.25,0.17453292519943295,-0.0,-0.0,5.0,True,-0.09248316161224453,-0.0029328917634954977,0.614754446170946,-0.000397211089553525,0.07855603800251411,0.0008890530341359757
1531.25,0.17453292519943295,-0.0,2.0,2.0,True,-0.0896364956160436,0.001744843561839823,0.6511913027888361,-0.019147778672057005,0.21214028299153997,-0.007762903417774332
1531.25,-0.08726646259971647,-0.08726646259971647,-0.0,2.0,True,-0.03024045118018854,-0.013106800334490347,-0.6486316198202531,-0.0021204601923905625,-0.25816803401382676,0.0036394402379777077
1531.25,0.17453292519943295,-0.08726646259971647,-0.0,2.0,True,-0.09105241425016485,-0.003553120589470286,0.6538229818212266,0.002945242122741261,0.21242543697458477,0.0018237991475560452
3001.25,0.08726646259971647,0.17453292519943295,2.0,5.0,True,-0.027558379042618136,0.027192557601391405,0.30078716790984134,-0.03650361878558172,-0.20711974490406895,-0.008524617320495842
1531.25,0.17453292519943295,0.08726646259971647,-0.0,2.0,True,-0.08979813092154201,0.004048318975893427,0.6595194702849141,-0.0019374811203296913,0.21380687077779129,-0.002035414886477158
551.25,0.17453292519943295,0.17453292519943295,2.0,-2.0,True,-0.10490183569441812,0.007114822537971672,0.660443778831713,-0.026269856406715388,0.3096551725624574,-0.010550481703475962
551.25,-0.0,-0.17453292519943295,2.0,-0.0,True,-0.02582455952215238,-0.03164228315715586,-0.1343950738694564,-0.04311565041513018,0.1103739852930101,0.0083470053161074
551.25,-0.17453292519943295,-0.17453292519943295,5.0,5.0,True,-0.09468570483259607,-0.017737288705719615,-0.9721969128687062,-0.06014197392431414,-0.31368213114769744,0.01600859423789341
3001.25,0.08726646259971647,0.08726646259971647,2.0,2.0,True,-0.026001931537023723,0.011520125419999892,0.3290866294542674,-0.041058678304435645,-0.024060643830554476,-0.004552690575245097
